title,authors,description,thumbnail,sku,publisher,price
Nhân Chứng Buộc Tội và Tuyển tập Kịch,Agatha Christie,"Ấn bản bìa mới được phát hành để kỷ niệm 50 năm các vở kịch xuất sắc, trong đó có Witness for the Prosecution với cốt truyện hoàn hảo, của Christie. Cuốn sách này là sự bổ sung lý tưởng cho ấn bản kỷ niệm 50 năm của The Mousetrap và Tuyển tập kịch. Nổi bật trong tập truyện này là Witness for the Prosecution, vở kịch sân khấu cực kỳ thành công của Christie, từng đoạt Giải thưởng của Hiệp hội Phê bình Kịch New York cho Vở kịch nước ngoài xuất sắc nhất. Một bộ phim truyền hình tòa án đầy kịch tính, nó kể về câu chuyện một người vợ xảo quyệt ra làm chứng chống lại chồng mình trong một phiên tòa xét xử án mạng gây chấn động. Trong Towards Zero, vẻ đẹp hoang sơ của một ngôi nhà ven biển nằm chênh vênh trên sông Tern ở Devonshire tạo nên bối cảnh ấn tượng khi một tên sát nhân tâm thần rình rập những nạn nhân không chút nghi ngờ. Đam mê, giết người và tình yêu là những yếu tố chết chóc trong Verdict, khiến đây trở thành một trong những tác phẩm giật gân khác thường hơn của Christie và khiến bà phải thốt lên rằng đây là vở kịch hay nhất tôi từng viết, ngoại trừ Witness for the Prosecution. Go Back for Murder kể câu chuyện về cô gái trẻ mạnh mẽ Carla. Mồ côi khi mới 5 tuổi, cô phát hiện mẹ mình bị bỏ tù vì sát hại cha và quyết tâm chứng minh sự vô tội của mẹ.",http://books.google.com/books/content?id=_9u7AAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,DAE207659,Nhà xuất bản Kim Đồng,3799414
Ngôi Nhà Nhỏ,Philippa Gregory,"Đối với Elizabeth, mọi chuyện thật dễ dàng. Cô kết hôn với người đàn ông mình yêu. Đối với Ruth, mọi chuyện lại khó khăn hơn. Cô kết hôn với con trai của Elizabeth và rồi phát hiện ra rằng, dù cố gắng thế nào đi nữa, cô vẫn không bao giờ có thể sánh bằng. Cuốn tiểu thuyết giật gân này đi sâu vào những điều phụ nữ khao khát và nỗi sợ hãi của họ, khi Ruth phải đối mặt với ranh giới lung lay của chính sự tỉnh táo của mình.",http://books.google.com/books/content?id=rbvUPps9vKsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,NBI220399,Nhà xuất bản Thanh niên,694499
Những Con Đường Huyền Bí,Susan Howatch,"Năm 1968, Nicholas Darrow vật lộn với những vấn đề cá nhân. Làm sao anh có thể kết hôn với Rosalind khi anh không thể tránh khỏi lối sống lăng nhăng? Làm sao anh có thể trở thành một linh mục khi anh thấy quá khó để sống đúng với cương vị đó? Và liệu anh có thể thoát khỏi sự phụ thuộc nguy hiểm vào người cha của mình?",http://books.google.com/books/content?id=by4ytBy63o0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,NGU151218,Nhà xuất bản Trẻ,2391020
Những Hình Ảnh Lấp Lánh,Susan Howatch,"Năm 1937, Charles Ashworth, một giáo sĩ của Tổng Giám mục Canterbury, được cử đến để gỡ rối một mớ bòng bong của sự tự huyễn hoặc và tham nhũng tại phủ giám mục của vị Giám mục Starbridge đầy sức lôi cuốn.",http://books.google.com/books/content?id=rDHbn0ORKhQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,YTB184366,Nhà xuất bản Giáo dục Việt Nam,391218
Quyền năng quyến rũ,Susan Howatch,"Tái bản loạt truyện Starbridge, tác phẩm nổi tiếng và được yêu thích nhất của tác giả, gồm sáu tập tiểu thuyết vừa độc lập vừa liên kết với nhau, khám phá lịch sử Giáo hội Anh trong suốt thế kỷ 20.",http://books.google.com/books/content?id=_bhPYWs6RrYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,MDI833237,Nhà xuất bản Tổng hợp TP.HCM,4091580
Con Tàu Điên Loạn,Robin Hobb,"Tác giả kỳ ảo bậc thầy Robin Hobb mang đến tập hai ấn tượng của bộ ba Thuyền Sống, đưa độc giả trở lại thành phố Bingtown cổ kính, nơi cướp biển đang hoành hành khắp bờ biển và nạn buôn nô lệ tàn khốc đang thịnh hành. Althea Vestrit không có thời gian để sợ hãi, bởi Thuyền Sống Vivacia mới thức tỉnh của gia đình cô đã bị tên cướp biển tàn nhẫn Kennit chiếm đoạt. Vì vậy, Althea ấp ủ một kế hoạch táo bạo. Nhưng để thực hiện nó, cô phải chiêu mộ một Thuyền Sống đã giết chết hai thủy thủ đoàn – và được cho là điên loạn.",http://books.google.com/books/content?id=2iWezkfdBE8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,ONY224934,Nhà xuất bản Hội Nhà văn,3706473
Đại úy Hạm đội,Patrick O'Brian,"Câu chuyện bắt đầu khi Jack Aubrey trở về nhà sau những cuộc phiêu lưu ở Địa Trung Hải, chứng kiến nước Anh sống trong hòa bình nhờ Hiệp ước Amiens. Anh và người bạn Stephen Maturin – bác sĩ phẫu thuật kiêm điệp viên bí mật – bắt đầu cuộc sống của những quý ông thôn quê, với thú vui săn bắn, tiệc tùng và những cuộc phiêu lưu tình ái. Tuy nhiên, cuộc sống thoải mái ấy đột ngột chấm dứt khi chỉ sau một đêm, Jack trở thành kẻ trắng tay với số nợ khổng lồ đủ để tống anh vào tù cả đời. Anh trốn sang lục địa để tìm nơi ẩn náu, nhưng thay vào đó lại trở thành kẻ đào tẩu bị truy lùng gắt gao khi Napoleon ra lệnh giam giữ tất cả người Anh trên đất Pháp. Những cuộc phiêu lưu trốn thoát khỏi Pháp và nhà tù nợ nần của Aubrey sẽ lôi cuốn độc giả không kém gì những trận hải chiến lừng lẫy và vô song của anh trên biển.",http://books.google.com/books/content?id=S761k-z51Q4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,KON635700,Nhà xuất bản Kim Đồng,4368804
Mặt trái của Huy chương,Patrick O'Brian,"Trong cuốn sách này, Jack Aubrey trở về sau nhiệm vụ bảo vệ những người săn cá voi ngoài khơi bờ biển Nam Mỹ. Anh bị một người quen tình cờ thuyết phục đầu tư vào Phố Tài chính Luân Đôn dựa trên những thông tin được cho là chắc chắn. Từ đó, anh bị cuốn vào thế giới ngầm tội phạm Luân Đôn và hoạt động gián điệp của chính phủ – vốn là địa hạt của người bạn Stephen Maturin.",http://books.google.com/books/content?id=YtjxFRb39Z4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,WGU120986,Nhà xuất bản Tổng hợp TP.HCM,1326791
Miss Marple,Agatha Christie,"Miss Marple xuất hiện trong 20 truyện ngắn, được xuất bản trong nhiều tuyển tập khác nhau ở Anh và Mỹ. Khi được trình bày theo thứ tự xuất bản, Miss Marple sử dụng cái nhìn sâu sắc độc đáo của mình để suy luận ra sự thật về hàng loạt vụ án chưa có lời giải.",http://books.google.com/books/content?id=a96qPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,URM517305,Nhà xuất bản Lao động,988982
Những Năm Gạo và Muối,Kim Stanley Robinson,"Được The New York Times Book Review đánh giá là mở rộng tầm mắt, cuốn lịch sử thay thế 600 năm qua này bắt đầu khi Cái chết Đen cướp đi sinh mạng của hầu hết cư dân châu Âu, và Trung Quốc, Ấn Độ cùng các quốc gia Hồi giáo giờ đây kiểm soát thế giới",http://books.google.com/books/content?id=I38CFD1RnmsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,EFN500495,Nhà xuất bản Văn học,3798457
Người Thừa,Michael Marshall Smith,"Spares – những bản sao người, bảo hiểm sức khỏe tối thượng. Mắt đền mắt – nhưng một số người lại chỉ biết lấy đi mọi thứ. Câu chuyện về Jack Randall: kiệt quệ, từ bỏ mọi thứ và đã cạn kiệt vận may. Nhưng với vai trò quản lý tại một trang trại Spares, anh vẫn còn một lựa chọn, và điều đó có thể tạo nên sự khác biệt.",http://books.google.com/books/content?id=83RrAdP9y5UC&printsec=frontcover&img=1&zoom=1&source=gbs_api,BUF678900,Nhà xuất bản Thế giới,4079686
Lực Hút,Tess Gerritsen,"Emma Watson, một bác sĩ nghiên cứu, đã dày công luyện tập cho nhiệm vụ quan trọng nhất đời mình: nghiên cứu các sinh vật sống trong môi trường vi trọng lực của không gian. Nhưng bản chất thật sự và nguy hiểm chết người của thí nghiệm đã không được tiết lộ cho NASA, và một khi lên đến trạm vũ trụ, mọi chuyện bắt đầu trở nên tồi tệ. Một mẫu nuôi cấy Archaeon đơn bào, thu thập từ biển sâu, bắt đầu nhân lên nhanh chóng và lây nhiễm cho phi hành đoàn – gây ra những cái chết đau đớn. Trong khi người chồng ly thân của cô và đội ngũ mặt đất tại NASA chạy đua với thời gian để thực hiện một cuộc giải cứu, Emma vật lộn để khống chế vi sinh vật chết người này. Nhưng với mầm bệnh đe dọa toàn bộ dân số Trái đất, có những kẻ sẵn sàng bỏ mặc các phi hành gia mắc kẹt trên quỹ đạo, bị cách ly trên trạm.",http://books.google.com/books/content?id=KI66cH39n6sC&printsec=frontcover&img=1&zoom=1&source=gbs_api,EQQ112332,Nhà xuất bản Kim Đồng,2094193
Người Phụ Nữ Khôn Ngoan,Philippa Gregory,"Cô độc và dễ tổn thương, Alys gia nhập tu viện hòng thoát khỏi cảnh nghèo khó, nhưng rồi lại bị đẩy trở lại thế giới bên ngoài khi những kẻ phá hoại của Henry VIII phá hủy thánh địa của cô. Chỉ với nhan sắc, phép thuật và sự khôn ngoan bản năng, Alys phải dấn thân vào con đường hiểm nguy, giằng xé giữa đức tin thời thơ ấu và sức mạnh nữ tính của bản thân. Khi cô yêu Hugo, một lãnh chúa phong kiến đã có vợ, cô tìm đến ma thuật để đánh bại đối thủ và giành lấy người tình, nhưng rồi nhận ra rằng ma thuật là một nô lệ kém cỏi nhưng lại là một chủ nhân tối thượng. Bởi vì dị giáo chống lại giáo hội mới sẽ bị xử thiêu, và ma thuật thì bị treo cổ, Alys đang đối mặt với hiểm nguy chết người. Sức mạnh nữ giới giờ đây không còn an toàn để sử dụng nữa...",http://books.google.com/books/content?id=BEr9wAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,VKK408142,Nhà xuất bản Văn học,4549462
Đêm Quẩy Của Hội Con Gái,Jessica Adams;Chris Manby;Fiona Walker,"Girls' Night In kể những câu chuyện về quá trình trưởng thành, rũ bỏ điều cũ, dọn ra ở riêng, bước tiếp, đối mặt với đổ vỡ và vực dậy bản thân. Vì vậy, hãy tắt điện thoại, cuộn mình trên ghế sofa: đây là một buổi Girls' Night In mà bạn sẽ không muốn bỏ lỡ.",http://books.google.com/books/content?id=xLwHHQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,GUF033335,Nhà xuất bản Kim Đồng,2410463
Album Trắng,Joan Didion,"Tuyển tập tiểu luận này thuật lại những gì đã diễn ra trong buổi sáng dài sau thập niên 1960, khi mọi người đang dần tỉnh táo trở lại sau những ""cơn say"" đầy biến động của riêng mình. Didion quan sát những bi kịch bùng nổ khi nước Mỹ bước vào giai đoạn ""thanh lọc"" tập thể: người mẹ bỏ rơi con gái năm tuổi trên dải phân cách của Xa lộ Liên bang 5; Huey Newton và Đảng Báo Đen tuyên bố từ buồng giam; những sinh viên, trong sự nhại lại vô thức, mô phỏng sự bất mãn của thập niên 1960.",http://books.google.com/books/content?id=qauOPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,NJV734215,Nhà xuất bản Dân trí,203374
Con Gái Thầy Lang,Amy Tan,"Kể về câu chuyện của ba thế hệ phụ nữ Trung Quốc, khởi nguồn từ đầu thế kỷ.",http://books.google.com/books/content?id=4KHT6mIMDt4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,OKO167968,Nhà xuất bản Thanh niên,4940375
Chiếc Lexus và Cây Ô liu,Thomas L. Friedman,"Một nửa thế giới mới hậu Chiến tranh Lạnh này đang dồn sức xây dựng một Lexus tốt hơn, tối ưu hóa các xã hội và nền kinh tế để hội nhập vào thị trường toàn cầu, trong khi nửa còn lại thì đang chìm đắm trong những cuộc tranh giành căn bản xoay quanh việc ai sở hữu cây ô liu nào, dải đất nào.",http://books.google.com/books/content?id=u8zxpq6o7HYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,KFW414217,Nhà xuất bản Giáo dục Việt Nam,893585
Đây là,Frank McCourt,"Từ tác giả đoạt giải Pulitzer của cuốn sách bán chạy số 1 New York Times, ""Angela's Ashes"". Hồi ký tuổi thơ tuyệt vời của Frank McCourt, ""Angela's Ashes"", đã được độc giả khắp nơi yêu mến và đón nhận. Tác phẩm đã đoạt Giải thưởng của Hội phê bình sách quốc gia, Giải thưởng sách của Los Angeles Times và Giải Pulitzer. Hiếm có cuốn sách nào nhanh chóng tìm được chỗ đứng trên văn đàn đến vậy. Và giờ đây, chúng ta có ""'Tis"", câu chuyện về hành trình của Frank trên đất Mỹ, từ một người nhập cư nghèo khó trở thành một giáo viên tài năng và người kể chuyện lôi cuốn.

Frank đặt chân đến New York năm mười chín tuổi, nhận việc tại Khách sạn Biltmore, nơi anh ngay lập tức nhận ra những phân cấp xã hội rõ rệt của cái ""quốc gia không giai cấp"" này, sau đó bị gọi nhập ngũ và được gửi đến Đức để huấn luyện chó và đánh máy báo cáo. Chính giọng văn không thể so sánh của Frank đã khiến những trải nghiệm này trở nên mê hoặc. Khi Frank trở về Mỹ vào năm 1953, anh làm việc ở bến tàu, luôn không chịu nghe theo những gì mọi người khuyên bảo. Anh biết mình cần phải được học hành, và dù đã bỏ học từ năm mười bốn tuổi, anh vẫn thuyết phục để được nhận vào Đại học New York. Ở đó, anh phải lòng một cô gái Yankee chính hiệu và cố gắng sống theo ước mơ của mình. Nhưng phải đến khi bắt đầu giảng dạy, Frank mới thực sự tìm thấy vị trí của mình trong cuộc sống.",http://books.google.com/books/content?id=Q3BhQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,BZU896379,Nhà xuất bản Tổng hợp TP.HCM,1803151
